#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 1 minute Interplantary OMNI data
#     DATA_TYPE                       HRO>1minute
#     DESCRIPTOR                      IMF and Plasma data
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            1minute averaged definitive multispacecraft interplanetary parameters data
#                                     Additional information for all parameters are available from OMNI Data Documentation:                 
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html   
#     MODS                            created November 2006;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     Time tags in CDAWeb version were modified in March 2005 to use the
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's
#                                     original convention of start-of-average time tags.
#     LOGICAL_FILE_ID                 omni_hro_1min_00000000_v01
#     PI_NAME                         J.H. King, N. Papatashvilli
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 1 minute
#     LOGICAL_SOURCE                  omni_hro_1min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 1-minute IMF and Plasma Data Time-Shifted to the                           
#                                      Nose of the Earth's Bow Shock, plus Magnetic Indices                                                  
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_1min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT1M
#     CDAWEB_PARENTS                  omni_hro_1min_00000000_v01
#                                     omni_hro_1min_19970201_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch Time
#  2. Magnitude of avg. field vector (nT) (last currently-available OMNI B-field data Mar 13, 2024)
#  3. Bx (nT), GSE
#  4. By (nT), GSE
#  5. Bz (nT), GSE
#  6. Flow Speed (km/s), GSE
#  7. Vx Velocity (km/s), GSE
#  8. Vy Velocity (km/s), GSE
#  9. Vz Velocity (km/s), GSE
# 10. Proton density (n/cc) (last currently-available OMNI plasma data Mar 13, 2024)
# 11. Temperature (K)
# 12. Plasma beta
#       NOTES:  Derived parameters are obtained from the following equations. Plasma beta = [(T*4.16/10**5) + 5.34] * Np / B**2 (B in nT)
#
EPOCH_TIME              MAG_AVG_B-VECTOR       BX,_GSE       BY,_GSE       BZ,_GSE FLOW_SPEED,_GSE VX_VELOCITY,_GSE VY_VELOCITY,_GSE VZ_VELOCITY,_GSE PROTON_DENSITY   TEMPERATURE   PLASMA_BETA
dd-mm-yyyy hh:mm:ss.ms                nT            nT            nT            nT            km/s             km/s             km/s             km/s           n/cc             K              
08-02-1997 00:00:00.000          6.97000      -4.23000       5.52000     -0.530000         374.400         -374.100         -12.6000         -9.60000        10.9500       28856.0       1.47000
08-02-1997 00:01:00.000          6.78000      -4.11000       5.36000     -0.510000         374.400         -374.100         -12.6000         -9.60000        10.9500       28856.0       1.56000
08-02-1997 00:02:00.000          6.98000      -4.56000       5.24000     -0.650000         372.500         -372.300         -8.20000         -8.90000        11.0000       31388.0       1.50000
08-02-1997 00:03:00.000          6.89000      -4.55000       5.16000     -0.300000         372.500         -372.300         -8.20000         -8.90000        11.0000       31388.0       1.54000
08-02-1997 00:04:00.000          9999.99       9999.99       9999.99       9999.99         372.500         -372.300         -8.20000         -8.90000        11.0000       31388.0       999.990
08-02-1997 00:05:00.000          6.26000      -3.16000       5.36000     -0.270000         370.400         -369.800         -17.3000         -12.2000        12.9000       30532.0       2.18000
08-02-1997 00:06:00.000          6.54000      -3.80000       5.24000      0.350000         371.500         -370.900         -19.2000         -8.70000        12.2600       30692.0       1.90000
08-02-1997 00:07:00.000          6.64000      -3.99000       5.23000      0.280000         372.200         -371.600         -20.5000         -6.40000        11.8300       30800.0       1.78000
08-02-1997 00:08:00.000          6.80000      -4.06000       5.26000       1.37000         372.400         -371.900         -17.6000         -10.6000        11.9500       29890.0       1.70000
08-02-1997 00:09:00.000          6.78000      -4.32000       4.97000       1.51000         372.600         -372.000         -19.0000         -10.1000        12.0900       30072.0       1.73000
08-02-1997 00:10:00.000          6.89000      -4.27000       5.09000       1.74000         370.400         -369.700         -17.5000         -13.1000        12.5100       32139.0       1.76000
08-02-1997 00:11:00.000          6.99000      -4.58000       4.66000       2.47000         370.900         -370.200         -18.6000         -10.8000        12.0600       31471.0       1.64000
08-02-1997 00:12:00.000          7.00000      -4.50000       4.62000       2.67000         369.900         -369.300         -13.9000         -16.0000        11.3300       28946.0       1.51000
08-02-1997 00:13:00.000          6.74000      -4.23000       4.79000       2.15000         369.900         -369.300         -13.7000         -16.2000        11.3000       28850.0       1.63000
08-02-1997 00:14:00.000          6.71000      -4.21000       4.77000       2.13000         370.600         -370.100         -12.2000         -14.4000        11.9400       34031.0       1.79000
08-02-1997 00:15:00.000          6.70000      -4.40000       4.85000       1.31000         369.100         -368.500         -15.3000         -14.1000        13.3900       34947.0       2.03000
08-02-1997 00:16:00.000          6.67000      -3.83000       5.34000       1.00000         368.500         -367.900         -16.6000         -13.9000        13.9900       35277.0       2.14000
08-02-1997 00:17:00.000          6.61000      -2.83000       5.95000      0.240000         373.600         -373.000         -21.1000         -3.60000        14.1500       29629.0       2.13000
08-02-1997 00:18:00.000          6.40000      -3.06000       5.60000      0.160000         376.100         -375.400         -22.8000         -3.70000        14.0600       28578.0       2.24000
08-02-1997 00:19:00.000          6.56000      -3.33000       5.63000      0.250000         371.600         -371.100         -19.0000         -7.30000        13.9400       29617.0       2.13000
08-02-1997 00:20:00.000          6.70000      -3.46000       5.73000      0.390000         371.600         -371.100         -19.0000         -7.30000        13.9400       29617.0       2.04000
08-02-1997 00:21:00.000          6.67000      -3.67000       5.55000      0.310000         372.200         -371.500         -21.8000         -6.00000        13.4900       29688.0       1.99000
08-02-1997 00:22:00.000          6.31000      -3.37000       5.30000     -0.470000         372.200         -371.500         -21.6000         -5.90000        13.5600       29719.0       2.24000
08-02-1997 00:23:00.000          6.40000      -3.26000       5.49000     -0.260000         371.900         -371.400         -18.9000         -5.10000        14.7000       30241.0       2.37000
08-02-1997 00:24:00.000          6.36000      -3.20000       5.49000    -0.0900000         371.000         -370.400         -19.3000         -7.20000        14.5800       30378.0       2.38000
08-02-1997 00:25:00.000          6.42000      -3.07000       5.62000      0.290000         370.500         -369.800         -19.5000         -8.40000        14.5100       30459.0       2.33000
08-02-1997 00:26:00.000          6.39000      -3.15000       5.54000      0.510000         370.800         -370.000         -22.5000         -9.70000        14.7500       31399.0       2.40000
08-02-1997 00:27:00.000          6.55000      -3.13000       5.73000      0.520000         370.800         -370.000         -22.5000         -9.70000        14.7500       31413.0       2.29000
08-02-1997 00:28:00.000          6.63000      -3.05000       5.87000      0.420000         370.800         -370.000         -22.5000         -9.70000        14.7500       31413.0       2.23000
08-02-1997 00:29:00.000          6.56000      -3.01000       5.82000      0.270000         371.900         -371.300         -19.3000         -9.60000        13.7500       30314.0       2.11000
08-02-1997 00:30:00.000          6.64000      -3.14000       5.79000      0.370000         371.200         -370.600         -19.6000         -9.20000        13.6400       30822.0       2.05000
08-02-1997 00:31:00.000          6.68000      -3.55000       5.38000       1.25000         371.700         -371.100         -16.8000         -11.1000        13.1200       31461.0       1.95000
08-02-1997 00:32:00.000          6.78000      -3.60000       5.52000       1.52000         372.000         -371.400         -17.0000         -9.40000        13.0900       30249.0       1.88000
08-02-1997 00:33:00.000          6.74000      -3.35000       5.62000       1.60000         373.400         -372.900         -18.3000         -8.10000        13.0000       29327.0       1.88000
08-02-1997 00:34:00.000          6.44000      -3.07000       5.41000       1.65000         373.800         -373.200         -19.5000         -9.20000        13.0800       28087.0       2.05000
08-02-1997 00:35:00.000          6.36000      -3.09000       5.31000       1.64000         373.500         -372.800         -20.0000         -10.3000        13.1900       27092.0       2.11000
08-02-1997 00:36:00.000          6.59000      -3.82000       5.01000       1.84000         373.300         -372.700         -19.6000         -10.0000        13.8100       29976.0       2.09000
08-02-1997 00:37:00.000          6.80000      -4.32000       4.76000       2.21000         373.000         -372.500         -16.7000         -10.3000        13.0400       31833.0       1.88000
08-02-1997 00:38:00.000          6.44000      -2.86000       4.94000      0.590000         373.200         -372.900         -13.1000         -10.5000        12.0100       32485.0       1.94000
08-02-1997 00:39:00.000          5.98000     -0.570000       5.65000      -1.35000         375.800         -375.300         -18.0000         -9.40000        13.1600       24181.0       2.34000
08-02-1997 00:40:00.000          6.17000     -0.710000       5.65000      -2.28000         378.900         -378.300         -21.3000        -0.100000        14.5600       25276.0       2.44000
08-02-1997 00:41:00.000          6.31000    -0.0100000       5.54000      -2.98000         378.400         -377.800         -20.9000         -1.30000        14.2600       25140.0       2.29000
08-02-1997 00:42:00.000          6.28000      0.460000       5.00000      -3.72000         377.900         -377.300         -20.5000         -2.40000        13.9700       25012.0       2.26000
08-02-1997 00:43:00.000          6.12000     -0.110000       5.57000      -2.53000         375.300         -374.700         -20.6000         -5.60000        15.3400       24968.0       2.61000
08-02-1997 00:44:00.000          6.16000     -0.110000       5.56000      -2.63000         375.500         -374.900         -20.3000         -4.70000        15.1900       24432.0       2.54000
08-02-1997 00:45:00.000          6.24000    -0.0200000       5.46000      -3.02000         375.700         -375.200         -20.0000         -3.50000        15.0200       23760.0       2.44000
08-02-1997 00:46:00.000          6.19000     -0.120000       5.45000      -2.90000         376.000         -375.500         -19.9000         -2.20000        15.1500       23949.0       2.51000
08-02-1997 00:47:00.000          6.16000     -0.190000       5.56000      -2.62000         375.900         -375.400         -20.2000         -1.90000        15.1700       23877.0       2.53000
08-02-1997 00:48:00.000          6.12000     -0.460000       5.60000      -2.38000         375.900         -375.400         -20.5000         -1.70000        15.1800       23822.0       2.57000
08-02-1997 00:49:00.000          5.95000     -0.690000       5.60000      -1.87000         375.800         -375.300         -19.8000         -1.20000        15.1100       24185.0       2.71000
08-02-1997 00:50:00.000          6.04000     -0.670000       5.58000      -2.20000         375.800         -375.300         -19.8000         -1.20000        15.1100       24187.0       2.63000
08-02-1997 00:51:00.000          6.03000     -0.680000       5.57000      -2.21000         99999.9          99999.9          99999.9          99999.9        999.990   1.00000E+07       999.990
08-02-1997 00:52:00.000          6.00000     -0.490000       5.43000      -2.39000         373.300         -372.700         -21.3000         -5.20000        15.3200       24143.0       2.70000
08-02-1997 00:53:00.000          6.04000      0.460000       4.48000      -3.99000         373.300         -372.700         -21.3000         -5.20000        15.3200       24143.0       2.66000
08-02-1997 00:54:00.000          5.97000      0.570000       4.70000      -3.63000         377.400         -376.800         -20.1000         -1.90000        15.8400       25257.0       2.84000
08-02-1997 00:55:00.000          5.91000      -1.26000       5.37000      -1.56000         377.900         -377.400         -19.9000         -1.50000        15.9100       25408.0       2.91000
08-02-1997 00:56:00.000          6.08000      -3.17000       5.01000       1.11000         375.800         -375.200         -20.6000          1.90000        15.2300       29544.0       2.71000
08-02-1997 00:57:00.000          6.03000      -3.09000       4.95000       1.39000         375.700         -375.100         -20.6000         0.200000        15.4000       31494.0       2.82000
08-02-1997 00:58:00.000          5.79000      -2.44000       5.12000      0.680000         375.700         -375.100         -20.6000         -1.20000        15.5500       33163.0       3.12000
08-02-1997 00:59:00.000          6.46000      -4.07000       2.90000       3.60000         374.800         -374.600         -11.1000         0.500000        14.1800       38283.0       2.36000
08-02-1997 01:00:00.000          6.77000      -4.64000       2.41000       4.30000         369.300         -368.800         -12.1000         -7.30000        13.4700       35610.0       2.00000
